Experiment Group,Part Description,Full MPN,Qty,Package,Mouser,DigiKey,Farnell UK,RS UK,Notes,Reference
Combined Passives,1 ohm 1% 3 W current-sense shunt,CHP2512-FX-1R00ELF,1,2512 SMD,1,,,,,
Combined Passives,50 milliohm 1% 2 W current-sense shunt,PE2512FKF7W0R05L,1,2512 SMD,1,1,,,,
Combined Passives,100 nF ceramic capacitor,,11,Through-hole ceramic,,,,,,
Combined Passives,4.7 nF C0G/NP0 ceramic capacitor,,2,Through-hole ceramic,,,,,,
Combined Passives,1 uF multilayer ceramic capacitor,,5,Through-hole ceramic,,,,,,
Combined Passives,2.2 nF C0G/NP0 ceramic capacitor,,1,Through-hole ceramic,,,,,,
Combined Passives,Switchable 22–50 uF test-load capacitor arrangement,,1,Through-hole assembly,,,,,,
Combined Passives,470 ohm 1% resistor,,4,Through-hole axial,,,,,,
Combined Passives,4.7 kohm 1% resistor,,6,Through-hole axial,,,,,,
Combined Passives,10 kohm 1% resistor,,7,Through-hole axial,,,,,,
Combined Passives,100 kohm 1% resistor,,13,Through-hole axial,,,,,,
Combined Passives,Local fuse for Experiment C,,1,Fuse and holder; rating TBD,,,,,,
Experiment A,N-channel MOSFET,DMG2302UKQ-7,1,SOT-23-3,1,2,1,,,
Experiment A,I2C GPIO expander,MCP23017-E/SP,1,SPDIP-28 (SP),1,1,,,,
Experiment A,Four-channel analogue switch,TMUX1511PWR,2,TSSOP-14 (PW),1,1,,,,
Experiment A,3.0 V supervisor with programmable delay,TPS3808G30DBVR,2,SOT-23-6 (DBV),1,1,,,,
Experiment A,TSSOP-14 to 2.54 mm adapter,,2,TSSOP-14 adapter,,,,,,
Experiment A,SOT-23-6 to 2.54 mm adapter,,2,SOT-23-6 adapter,,,,,,
Experiment A,SOT-23-3 to 2.54 mm adapter,,1,SOT-23-3 adapter,,,,,,
Experiment B,Dual common-cathode Schottky diode,BAT54C-E3-08,5,SOT-23-3,1,1,,,,
Experiment B,N-channel MOSFET,DMN2024UQ-7,1,SOT-23-3,1,1,,,,
Experiment B,Power multiplexer,TPS2116DRLR,1,SOT-5X3-8 (DRL),1,1,,,,
Experiment B,Load switch experiment carrier option,TPS22917DBVT,1,SOT-23-6 (DBV),1,2,3,,Production remains TPS22917DBVR,https://www.mouser.co.uk/en/c/?q=TPS22917DBVT
Experiment B,Operating-mode header,,1,2x4 2.54 mm through-hole header,,,,,,
Experiment B,Operating-mode shunts,,4,2.54 mm jumper shunt,,,,,,
Experiment B,SOT-5X3-8 to 2.54 mm adapter,,1,SOT-5X3-8 / DRL adapter,,,,,,
Experiment B,SOT-23-6 to 2.54 mm adapter,,1,SOT-23-6 adapter,,,,,,
Experiment B,SOT-23-3 adapters or combined carrier,,6,SOT-23-3 adapter,,,,,,
Experiment C,P-channel MOSFET,AO3401A,1,SOT-23-3,,2,3,,,
Experiment C,Current and power monitor,INA226AIDGSR,1,VSSOP-10 (DGS),2,1,1,,,
Experiment C,INA228 current and power monitor carrier module,ADA5832,1,Adafruit assembled breakout module,,,,,Retain original 15 milliohm shunt; adapt exact Rev-A 1 ohm shunt,https://thepihut.com/products/adafruit-ina228-i2c-85v-20-bit-high-or-low-side-power-monitor-stemma-qt-qwiic
Experiment C,Dual two-input AND gate,SN74LVC2G08DCUR,1,VSSOP-8 (DCU),1,1,,,,
Availability Watch,NOT IN CURRENT EXPERIMENT - adjustable current-limited power switch,TPS2559QWDRCRQ1,0,VSON-10 3x3 mm exposed pad (DRC),2,1,,,Deferred; exact live stock and carrier not confirmed,
Experiment C,Single-bit voltage-level translator experiment package,TXU0101DCKR,1,SC70-6 (DCK),1,2,0,,Production remains TXU0101DBVR,
Availability Watch,NOT IN CURRENT EXPERIMENT - exposed-pad carrier for TPS2559,,0,VSON-10 3x3 mm DRC carrier,,,,,Deferred with TPS2559,
Experiment C,VSSOP-10 to 2.54 mm adapter,,1,VSSOP-10 adapter,,,,,,
Experiment C,VSSOP-8 to 2.54 mm adapter,,1,VSSOP-8 adapter,,,,,,
Experiment C,SC70-6 to 2.54 mm adapter,,1,SC70-6 adapter,,,,,,
Experiment C,SOT-23-3 to 2.54 mm adapter,,1,SOT-23-3 adapter,,,,,,
Experiment C,Shunt carriers with separate force and Kelvin connections,,2,2512 adapter/carrier,,,,,,
