,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
SHOPPING BASKET,,,,,,,,,,
This is not an invoice,,,,,,,,,,
07-Jul-26 20:37:49,,,,,,,,,,
,Mouser No,Mfr. No,Manufacturer,Customer No,Description ,RoHS,Lifecycle,Order Qty.,Price (GBP),Ext.: (GBP)
1,78-DG409LEDY-GE3,DG409LEDY-GE3,Vishay,,Multiplexer Switch ICs Dual 4-Ch Diffrntial Multiplexer 3-16V,RoHS Compliant,,10,£1.13,£11.30
2,595-TMUX1204DGSR,TMUX1204DGSR,Texas Instruments,,Multiplexer Switch ICs 5-V 4:1 1-channel ge neral-purpose ana,RoHS Compliant,,10,£0.361,£3.61
3,579-MCP23017-E/SP,MCP23017-E/SP,Microchip,,Interface - I/O Expanders 16bit Input/Output Exp I2C interface,RoHS Compliant,,4,£1.27,£5.08
4,579-MCP23008-E/P,MCP23008-E/P,Microchip,,Interface - I/O Expanders In/Out I2C int,RoHS Compliant,,4,£1.15,£4.60
5,535-LCQT-SOIC16,LCQT-SOIC16,Aries Electronics,,Sockets & Adapters SO Prototyp Adaptor 16 contact SOIC,RoHS Compliant,,8,£2.91,£23.28
6,535-LCQT-MSOP10,LCQT-MSOP10,Aries Electronics,,Sockets & Adapters SO Prototyp Adaptor 10 contact MSOP,No,,8,£1.96,£15.68
7,571-1-2199298-9,1-2199298-9,TE Connectivity,,IC & Component Sockets 28P DIP SKT 300 CL LADDER,RoHS Compliant,,4,£0.713,£2.85
,,,,,,,,,,
,,,,,,,,,,
"By submitting your order you agree
to these terms and conditions.",,,,,,,,,Merchandise:,£66.40
Prices are reflected at the date and time shown.,,,,,,,,,Delivery Charge:,£0.00
